Mini Fabrica,Codigo Item,Descricao Item,Tipo Unidade,Codigo Cor,Descricao Cor,Tam,Deve (Abast),Saldo em Casa,Origem do Saldo
Mini Fabrica - 24,192842,BRILHO ITALIA PU 0.9 (P/V 25/26)+BASE FLEX,,38551,OURO ROSADO/BISCOITO,,-0.583,0.00000,nacional
Mini Fabrica - 24,192842,BRILHO ITALIA PU 0.9 (P/V 25/26)+BASE FLEX,,78556,GRAFITE 914/PRETO,,-0.516,0.00000,nacional
Mini Fabrica - 26,97488,PANO COURACA P/ REFORCO TX 007/B,,1,BRANCO,,-15.667,0.00000,nacional
Mini Fabrica - 26,143760,METALIZADO LONDON PU 0.9+BASE FLEX,,15787,PRETO 01/PRETO,,-0.672,0.00000,nacional
Mini Fabrica - 26,196437,NAPA ONCA GRECIA PU 0.9 (B P/V 24/25)+SARJA 7030/50,,96662,MULTI CAMEL 1165/PRETO 01,,-13.89,0.00000,nacional
Mini Fabrica - 30,25567,AVESSO VELUR,,23041,CARAMELO 310,,-6.596,0.00000,nacional
Mini Fabrica - 30,25567,AVESSO VELUR,,35313,CREME 516,,-2.252,0.00000,nacional
Mini Fabrica - 30,48926,CAMURCA FLEX 0.30+BASE FLEX 1.0 (P/V 12/13),,96142,CAMEL 1165/BISCOITO,,-0.542,0.00000,nacional
Mini Fabrica - 30,56577,FORRO MILANO PU 0.7(B O/I 2014),,104045,AZUL SKY 1395,,-5.562,0.00000,nacional
Mini Fabrica - 30,56577,FORRO MILANO PU 0.7(B O/I 2014),,105829,ROSE 1434,,-5.235,0.00000,nacional
Mini Fabrica - 30,60121,CAMURCA FLEX 0.30+FLANELA 475/11 0.40,,95810,CAMEL 1165/CRU 20,,-0.184,0.00000,nacional
Mini Fabrica - 30,64664,FORRO FACHETE PVC 0.8 (B O/I 2015),,50,NATURAL,,-13.654,0.00000,nacional
Mini Fabrica - 30,64664,FORRO FACHETE PVC 0.8 (B O/I 2015),,15745,PRETO 01,,-1.158,0.00000,nacional
Mini Fabrica - 30,67244,NAPA TURIM PU 1.0 (B P/V 15/16),,83517,CREME 985,,-4.956,0.00000,nacional
Mini Fabrica - 30,67244,NAPA TURIM PU 1.0 (B P/V 15/16),,105828,CORAL 1435,,-2.179,0.00000,nacional
Mini Fabrica - 30,67244,NAPA TURIM PU 1.0 (B P/V 15/16),,107610,OLIVE 1469,,-4.493,0.00000,nacional
Mini Fabrica - 30,74934,NAPA TURIM PU 1.0 + POLINYLON 11HM 2 L+FORRO MILANO PU 0.7,,100874,CAMEL 1165/BRANCO 15/CAMEL 1165,,-0.725,0.00000,nacional
