Mini Fabrica;Codigo Item;Descricao Item;Tipo Unidade;Codigo Cor;Descricao Cor;Tam;Deve (Abast);Necessidade (Min 1m);Saldo em Casa;Coberto Estimado;Falta Estimada;Cobertura (%);Origem do Saldo
Mini Fabrica - 9;56577;FORRO MILANO PU 0.7(B O/I 2014);;29452;BEGE 435;;-25,713;25,713;0,0;0,0;25,713;0,0;nacional
Mini Fabrica - 9;56577;FORRO MILANO PU 0.7(B O/I 2014);;35312;BRANCO OFF 526;;-14,337;14,337;26,0;14,337;0,0;100,0;nacional
Mini Fabrica - 9;56577;FORRO MILANO PU 0.7(B O/I 2014);;95373;CAMEL 1165;;-9,476;9,476;93,0;9,476;0,0;100,0;nacional
Mini Fabrica - 9;56577;FORRO MILANO PU 0.7(B O/I 2014);;104068;MOCCA 1398;;-2,535;2,535;38,0;2,535;0,0;100,0;nacional
Mini Fabrica - 9;56577;FORRO MILANO PU 0.7(B O/I 2014);;107610;OLIVE 1469;;-3,32;3,32;46,0;3,32;0,0;100,0;nacional
Mini Fabrica - 9;63609;FORRO MILANO PU 0.7+PX25+FILME PU 400;;50;NATURAL;;-79,006;79,006;229,4;79,006;0,0;100,0;nacional
Mini Fabrica - 9;67244;NAPA TURIM PU 1.0 (B P/V 15/16);;15745;PRETO 01;;-15,265;15,265;0,0;0,0;15,265;0,0;nacional
Mini Fabrica - 9;67244;NAPA TURIM PU 1.0 (B P/V 15/16);;52531;NUDE 658;;-19,197;19,197;0,0;0,0;19,197;0,0;nacional
Mini Fabrica - 9;67244;NAPA TURIM PU 1.0 (B P/V 15/16);;107613;TERRACOTA 1477;;-0,651;1,0;26,0;1,0;0,0;100,0;nacional
Mini Fabrica - 9;67345;NAPA TURIM PU 1.0 + SARJA 7030/40 0.40;;18215;BRANCO 99/CRU 20;;-17,936;17,936;54,3;17,936;0,0;100,0;nacional
Mini Fabrica - 9;67345;NAPA TURIM PU 1.0 + SARJA 7030/40 0.40;;35324;BRANCO OFF 526/CRU 20;;-12,138;12,138;94,3;12,138;0,0;100,0;nacional
Mini Fabrica - 9;67345;NAPA TURIM PU 1.0 + SARJA 7030/40 0.40;;101992;VERDE LUNA 1256/CRU 20;;-8,573;8,573;0,0;0,0;8,573;0,0;nacional
Mini Fabrica - 9;67345;NAPA TURIM PU 1.0 + SARJA 7030/40 0.40;;105897;OSTRA 1431/CRU 20;;-6,281;6,281;47,8;6,281;0,0;100,0;nacional
Mini Fabrica - 9;73034;NAPA TURIM PU 1.0 (B P/V 15/16)+BASE FLEX 1.0;;96142;CAMEL 1165/BISCOITO;;-26,133;26,133;1,5;1,5;24,633;5,739869130983814;nacional
Mini Fabrica - 9;73034;NAPA TURIM PU 1.0 (B P/V 15/16)+BASE FLEX 1.0;;107768;TERRACOTA 1477/BISCOITO;;-0,706;1,0;20,0;1,0;0,0;100,0;nacional
Mini Fabrica - 9;76853;METAL GLAMOUR PU 0.9 (V P/V 16/17);;41;PRATA;;-1,374;1,374;0,0;0,0;1,374;0,0;nacional
Mini Fabrica - 9;84549;VERNIZ PREMIUM PU 1.0 (M/MD O/I 2017);;95373;CAMEL 1165;;-2,664;2,664;14,5;2,664;0,0;100,0;nacional
