Mini Fabrica;Codigo Item;Descricao Item;Tipo Unidade;Codigo Cor;Descricao Cor;Tam;Deve (Abast);Necessidade (Min 1m);Saldo em Casa;Coberto Estimado;Falta Estimada;Cobertura (%);Origem do Saldo
Mini Fabrica - 9;138672;NAPA FLOATHER NATURE PU 1.0 (M;;100604;AVELA 1248/C;;-80,4616;80,4616;242,0;80,4616;0,0;100,0;nacional
Mini Fabrica - 9;138672;NAPA FLOATHER NATURE PU 1.0 (M;;104327;VERDE SALVIA;;-6,344;6,344;7,0;6,344;0,0;100,0;nacional
Mini Fabrica - 9;143760;METALIZADO LONDON PU 0.9+BASE;;15787;PRETO 01/PRET;;-0,0856;1,0;12,3;1,0;0,0;100,0;nacional
Mini Fabrica - 9;168873;NAPA CALF PU 0.9 ( P/V 24/25);;15745;PRETO 01;;-110,314;110,314;239,0;110,314;0,0;100,0;substituto
Mini Fabrica - 9;168873;NAPA CALF PU 0.9 ( P/V 24/25);;100983;VERDE LUNA;;-46,8824;46,8824;26,5;26,5;20,382399999999997;56,52441001313926;nacional
Mini Fabrica - 9;168873;NAPA CALF PU 0.9 ( P/V 24/25);;102051;AREIA 1286;;-100,4344;100,4344;188,0;100,4344;0,0;100,0;substituto
Mini Fabrica - 9;168873;NAPA CALF PU 0.9 ( P/V 24/25);;104068;MOCCA 1398;;-14,5056;14,5056;36,0;14,5056;0,0;100,0;substituto
Mini Fabrica - 9;169103;NAPA CALF PU 0.9 (V P/V 24/25)+POL;;102219;AREIA 1286/BR;;-3,9418;3,9418;21,8;3,9418;0,0;100,0;nacional
Mini Fabrica - 9;192622;METALIZADO MILANO PU 0.9 (V O/I 2;;41;PRATA;;-4,1825;4,1825;16,0;4,1825;0,0;100,0;nacional
Mini Fabrica - 9;192622;METALIZADO MILANO PU 0.9 (V O/I 2;;66;DOURADO;;-20,4711;20,4711;60,0;20,4711;0,0;100,0;substituto
Mini Fabrica - 9;192801;BRILHO ITALIA PU 0.9 (P/V 25/26);;23146;OURO ROSADO;;-43,4036;43,4036;83,0;43,4036;0,0;100,0;substituto
Mini Fabrica - 9;196639;NAPA VELUNA 0.9 (MD O/I 26) - IMPO;;106878;CHOCOLATE;;-94,6736;94,6736;104,0;94,6736;0,0;100,0;nacional
Mini Fabrica - 9;196770;NAPA ONCA GRECIA PU 0.9 (B P/V 24;;96942;MULTI CAMEL;;-7,3855;7,3855;42,0;7,3855;0,0;100,0;nacional
Mini Fabrica - 9;197280;CAMURCAO LONDON PU 1.2 (V O/I 2;;101439;CACAU 1277;;-9,3872;9,3872;8,8;8,8;0,5871999999999993;93,74467359809103;substituto
Mini Fabrica - 10;25567;AVESSO VELUR;;3;PRETO;;-22,8924;22,8924;32,0;22,8924;0,0;100,0;substituto
Mini Fabrica - 10;164097;NAPA FLOATHER CLASSIC NEO 1.45;;15745;PRETO 01;;-9,8316;9,8316;7,0;7,0;2,8316;71,19899100858457;nacional
Mini Fabrica - 16;67244;NAPA TURIM PU 1.0 (B P/V 15/16);;29452;BEGE 435;;-5,4808;5,4808;25,0;5,4808;0,0;100,0;nacional
Mini Fabrica - 19;23124;TERMOPONTO P345/11 - 120;;3;PRETO;;-21,04;21,04;113,0;21,04;0,0;100,0;nacional
Mini Fabrica - 19;23124;TERMOPONTO P345/11 - 120;;50;NATURAL;;-8,16;8,16;182,0;8,16;0,0;100,0;nacional
Mini Fabrica - 19;25567;AVESSO VELUR;;3;PRETO;;-3,7911;3,7911;32,0;3,7911;0,0;100,0;substituto
Mini Fabrica - 19;25567;AVESSO VELUR;;35313;CREME 516;;-3,698;3,698;94,0;3,698;0,0;100,0;substituto
Mini Fabrica - 19;34062;PANO P/ REFORCO CR 150;;0;SEM COR;;-7,5212;7,5212;4117,9;7,5212;0,0;100,0;nacional
Mini Fabrica - 19;56427;PELICA PU 1.0 (V O/I 2014);;15745;PRETO 01;;-26,8261;26,8261;53,0;26,8261;0,0;100,0;substituto
Mini Fabrica - 19;56577;FORRO MILANO PU 0.7(B O/I 2014);;50;NATURAL;;-107,84868;107,84868;405,7;107,84868;0,0;100,0;substituto
Mini Fabrica - 19;56577;FORRO MILANO PU 0.7(B O/I 2014);;15745;PRETO 01;;-1,05789;1,05789;391,0;1,05789;0,0;100,0;substituto
Mini Fabrica - 19;56577;FORRO MILANO PU 0.7(B O/I 2014);;29452;BEGE 435;;-4,368;4,368;300,0;4,368;0,0;100,0;substituto
Mini Fabrica - 19;56577;FORRO MILANO PU 0.7(B O/I 2014);;35312;BRANCO OFF;;-0,7628;1,0;26,0;1,0;0,0;100,0;nacional
Mini Fabrica - 19;56577;FORRO MILANO PU 0.7(B O/I 2014);;83517;CREME 985;;-40,7093;40,7093;144,0;40,7093;0,0;100,0;nacional
Mini Fabrica - 19;56577;FORRO MILANO PU 0.7(B O/I 2014);;89673;TAN 1080;;-41,4808;41,4808;69,0;41,4808;0,0;100,0;nacional
Mini Fabrica - 19;56577;FORRO MILANO PU 0.7(B O/I 2014);;95373;CAMEL 1165;;-4,22494;4,22494;60,0;4,22494;0,0;100,0;nacional
Mini Fabrica - 19;56577;FORRO MILANO PU 0.7(B O/I 2014);;101321;CHOCOLATE;;-18,4588;18,4588;50,0;18,4588;0,0;100,0;nacional
Mini Fabrica - 19;56577;FORRO MILANO PU 0.7(B O/I 2014);;107610;OLIVE 1469;;-2,724;2,724;46,0;2,724;0,0;100,0;nacional
Mini Fabrica - 19;58623;FORRO MILANO PU 0.7(B O/I 2014)+FIL;;15745;PRETO 01;;-4,6268;4,6268;24,0;4,6268;0,0;100,0;nacional
Mini Fabrica - 19;58623;FORRO MILANO PU 0.7(B O/I 2014)+FIL;;29452;BEGE 435;;-0,6608;1,0;25,0;1,0;0,0;100,0;nacional
Mini Fabrica - 19;63609;FORRO MILANO PU 0.7+PX25+FILME;;50;NATURAL;;-97,35;97,35;229,4;97,35;0,0;100,0;nacional
Mini Fabrica - 19;64664;FORRO FACHETE PVC 0.8 (B O/I 2015);;15745;PRETO 01;;-24,9284;24,9284;21,0;21,0;3,9284;84,24126698865551;nacional
Mini Fabrica - 19;67244;NAPA TURIM PU 1.0 (B P/V 15/16);;29452;BEGE 435;;-2,4812;2,4812;25,0;2,4812;0,0;100,0;nacional
Mini Fabrica - 19;67244;NAPA TURIM PU 1.0 (B P/V 15/16);;52531;NUDE 658;;-17,4778;17,4778;120,0;17,4778;0,0;100,0;substituto
Mini Fabrica - 19;67244;NAPA TURIM PU 1.0 (B P/V 15/16);;83517;CREME 985;;-44,96502;44,96502;312,0;44,96502;0,0;100,0;substituto
Mini Fabrica - 19;67244;NAPA TURIM PU 1.0 (B P/V 15/16);;89673;TAN 1080;;-37,70317;37,70317;65,0;37,70317;0,0;100,0;nacional
Mini Fabrica - 19;67244;NAPA TURIM PU 1.0 (B P/V 15/16);;107613;TERRACOTA;;-16,03716;16,03716;26,0;16,03716;0,0;100,0;nacional
Mini Fabrica - 19;67345;NAPA TURIM PU 1.0 + SARJA 7030/40;;15758;PRETO 01/PRET;;-5,2332;5,2332;392,8;5,2332;0,0;100,0;nacional
Mini Fabrica - 19;67345;NAPA TURIM PU 1.0 + SARJA 7030/40;;105897;OSTRA 1431/C;;-2,1696;2,1696;47,8;2,1696;0,0;100,0;nacional
Mini Fabrica - 19;74934;NAPA TURIM PU 1.0 + POLINYLON 11H;;16143;PRETO 01/PRET;;-10,1782;10,1782;2,0;2,0;8,1782;19,64983985380519;nacional
Mini Fabrica - 19;74934;NAPA TURIM PU 1.0 + POLINYLON 11H;;96674;CAMEL 1165/BR;;-7,5384;7,5384;11,8;7,5384;0,0;100,0;nacional
Mini Fabrica - 19;74934;NAPA TURIM PU 1.0 + POLINYLON 11H;;101878;CHOCOLATE;;-10,3792;10,3792;19,0;10,3792;0,0;100,0;nacional
Mini Fabrica - 19;76853;METAL GLAMOUR PU 0.9 (V P/V 16/17);;41;PRATA;;-3,5125;3,5125;90,0;3,5125;0,0;100,0;substituto
Mini Fabrica - 19;76853;METAL GLAMOUR PU 0.9 (V P/V 16/17);;23146;OURO ROSADO;;-219,61993;219,61993;626,0;219,61993;0,0;100,0;substituto
Mini Fabrica - 19;135523;NAPA GENEBRA PU 1.2 (B O/I 2020) -;;15745;PRETO 01;;-19,146;19,146;40,0;19,146;0,0;100,0;nacional
Mini Fabrica - 19;143760;METALIZADO LONDON PU 0.9+BASE;;34788;DOURADO/BISC;;-0,216;1,0;11,0;1,0;0,0;100,0;nacional
Mini Fabrica - 19;157666;TECIDO ADTERM CH 180 C CONFOR;;15745;PRETO 01;;-61,2552;61,2552;60,0;60,0;1,255200000000002;97,9508678446891;nacional
Mini Fabrica - 19;183344;NAPA GARDA PU 1.0 (V P/V 24/25);;103102;CHERRY 1335;;-5,2155;5,2155;100,0;5,2155;0,0;100,0;nacional
Mini Fabrica - 19;183344;NAPA GARDA PU 1.0 (V P/V 24/25);;107613;TERRACOTA;;-29,93532;29,93532;67,0;29,93532;0,0;100,0;nacional
Mini Fabrica - 19;190938;NAPA TURIM CROCO MILAO PU 1.0 (;;15745;PRETO 01;;-1,5;1,5;40,0;1,5;0,0;100,0;nacional
Mini Fabrica - 19;192801;BRILHO ITALIA PU 0.9 (P/V 25/26);;41;PRATA;;-0,03607;1,0;47,0;1,0;0,0;100,0;substituto
Mini Fabrica - 19;192801;BRILHO ITALIA PU 0.9 (P/V 25/26);;66;DOURADO;;-13,88474;13,88474;29,0;13,88474;0,0;100,0;substituto
Mini Fabrica - 19;192801;BRILHO ITALIA PU 0.9 (P/V 25/26);;23146;OURO ROSADO;;-1,46508;1,46508;83,0;1,46508;0,0;100,0;substituto
Mini Fabrica - 19;196770;NAPA ONCA GRECIA PU 0.9 (B P/V 24;;96942;MULTI CAMEL;;-1,0;1,0;42,0;1,0;0,0;100,0;nacional
Mini Fabrica - 19;196814;NAPA BERLIM CROCO MILAO PU 1.2;;15758;PRETO 01/PRET;;-1,2138;1,2138;25,0;1,2138;0,0;100,0;nacional
