Codigo Item,Descricao Item,Tipo Unidade,Codigo Cor,Descricao Cor,Tam,Qtd Mini Fabricas,Mini Fabricas Destino,Total Necessidade,Necessidade por Mini (deve|saldo|origem)
184004,NAPA GARDA PU 1.0 (V P/V 24/25)+POLINYLON 11HML 2L+FORRO MILANO,,108445,OLIVE 1469/BRANCO 15/NATURAL,,2,Mini Fabrica - 30 | Mini Fabrica - 40,2.282,Mini Fabrica - 30: deve=-0.316 | saldo=0.00000 | origem=nacional || Mini Fabrica - 40: deve=-1.966 | saldo=0.00000 | origem=nacional
197406,NAPA ONCA GRECIA PU 0.9 (B P/V 24/25)+VELVET,,96673,MULTI CAMEL 1165/PRETO,,2,Mini Fabrica - 30 | Mini Fabrica - 40,16.079,Mini Fabrica - 30: deve=-15.673 | saldo=0.00000 | origem=nacional || Mini Fabrica - 40: deve=-0.406 | saldo=0.00000 | origem=nacional
183344,NAPA GARDA PU 1.0 (V P/V 24/25),,105704,OSTRA 1431,,3,Mini Fabrica - 38 | Mini Fabrica - 40 | Mini Fabrica - 50,13.127,Mini Fabrica - 38: deve=-4.81 | saldo=0.00000 | origem=nacional || Mini Fabrica - 40: deve=-3.48 | saldo=0.00000 | origem=nacional || Mini Fabrica - 50: deve=-4.837 | saldo=0.00000 | origem=nacional
197280,CAMURCAO LONDON PU 1.2 (V O/I 25) -IMPORTADO.,,106596,CARAMELO 1450,,2,Mini Fabrica - 43 | Mini Fabrica - 50,30.661,Mini Fabrica - 43: deve=-6.992 | saldo=0.00000 | origem=nacional || Mini Fabrica - 50: deve=-23.669 | saldo=0.00000 | origem=nacional
196484,PECA VISTA IMPRESSAO ACTVITTA (PVC AUSTRALIA)L.4853.108,PAR,104361,PRETO 01/TURQUESA 1315- VIOLETA 1221,4,2,Mini Fabrica - 68 | Mini Fabrica - 69,13.0,Mini Fabrica - 68: deve=-12.0 | saldo=0.00000 | origem=nacional || Mini Fabrica - 69: deve=-1.0 | saldo=0.00000 | origem=nacional
81554,NAPA FLOTER RUSTICO NEO 1.4(MLK,,15787,PRETO 01/PRET,,2,Mini Fabrica - 10 | Mini Fabrica - 34,28.4186,Mini Fabrica - 10: deve=-27.8164 | saldo=16.40000 | origem=nacional || Mini Fabrica - 34: deve=-0.6022 | saldo=16.40000 | origem=nacional
120736,"ESPUMA PU 6,5MM D.60",,1,BRANCO,,2,Mini Fabrica - 10 | Mini Fabrica - 34,131.9857,Mini Fabrica - 10: deve=-87.86332 | saldo=104.00000 | origem=nacional || Mini Fabrica - 34: deve=-44.1224 | saldo=104.00000 | origem=nacional
151481,"CACHAREL RUN (MLK)+ESP PU 1,5 D",,59778,PRETO/BRANCO,,2,Mini Fabrica - 10 | Mini Fabrica - 34,1158.0786,Mini Fabrica - 10: deve=-294.96226 | saldo=238.50000 | origem=nacional || Mini Fabrica - 34: deve=-863.11635 | saldo=238.50000 | origem=nacional
151481,"CACHAREL RUN (MLK)+ESP PU 1,5 D",,93368,MARINHO 1128,,2,Mini Fabrica - 10 | Mini Fabrica - 34,22.43,Mini Fabrica - 10: deve=-12.87639 | saldo=46.50000 | origem=nacional || Mini Fabrica - 34: deve=-9.5536 | saldo=46.50000 | origem=nacional
153726,BIDIN CB 2030/R,,19161,BRANCO 15,,2,Mini Fabrica - 10 | Mini Fabrica - 34,687.2036,Mini Fabrica - 10: deve=-219.5783 | saldo=29.5676 | origem=substituto || Mini Fabrica - 34: deve=-467.6253 | saldo=29.5676 | origem=substituto
194041,TECIDO ADTERM CH 120 C CB CONF,,15745,PRETO 01,,2,Mini Fabrica - 10 | Mini Fabrica - 34,165.637,Mini Fabrica - 10: deve=-123.9413 | saldo=8.00000 | origem=nacional || Mini Fabrica - 34: deve=-41.6957 | saldo=8.00000 | origem=nacional
